"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
656605,,"R",2870,134,"37.9",-1.769971987077145,5.825606271777003,-0.049653942095685286,4.487432908010211
656629,,"R",231,119,"46.4",-1.481936429648643,5.805324675324675,-0.019944613437661574,4.268766724541056
656638,,"R",20,116,"40.0",-1.7139805252729214,5.668,0.08943474598930481,4.152220494652407
656641,,"L",1386,140,"48.8",1.2196541468733788,5.899805194805195,-0.2804490172285627,4.181204685767788
656686,,"R",332,110,"43.5",-1.4550762520838774,5.906084337349397,0.15203501438910721,4.382855380881816
656730,,"R",753,158,"53.8",-1.2069865042602879,6.519070385126162,0.274124118380903,4.494396412093752
656731,,"R",1231,121,"35.4",-2.111337618670235,5.889642567018684,-0.21945554380233742,4.544645374613918
656794,,"L",1545,9999,"30.6",2.409402862909989,6.003915857605178,0.2200935787342298,4.70645469642167
656848,,"R",327,9999,"49.0",-1.2934424788728631,6.395412844036697,0.32433410140258495,4.535716053137963
656849,,"L",2695,121,"40.4",1.8316658458057213,6.114356215213358,-0.058440676402792525,4.504520544647611
656876,,"R",2316,139,"54.9",-1.1535318289744028,5.925738341968912,0.16720917153091414,4.04464597618212
656896,,"R",1,110,"18.1",-2.667130215684792,5.98,-0.4331833333333333,5.2448999999999995
656945,,"L",911,119,"34.7",2.252374452701804,5.239626783754116,0.42045728411512295,3.9729885638198996
656986,,"L",727,117,"54.5",1.1177765825993877,6.353480055020633,-0.22978928863029519,4.46392925913394
657006,,"L",268,112,"44.7",1.6992481852062244,6.112164179104478,0.07614831125123048,4.5039745776465265
657024,,"R",128,141,"53.2",-1.3885515636361314,6.17015625,-0.08386161778631908,4.426479545454545
657044,,"R",650,109,"-9.0",-3.32002234750988,3.6596,-0.8620511075003428,4.048324423145482
657053,,"R",36,108,"31.0",-2.2077541538300687,5.539166666666667,-0.11741830808080808,4.27934705882353
657097,,"R",978,140,"34.2",-2.155093061418754,5.558640081799591,-0.2765072270886417,4.282654220024131
