"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Wynns, Austin",642851,"ATH","FS","Split-Finger",5.3,0,"6",1.4,"2","0.5","1","0.625",60,50,100,"0.28","0.534","0.34",100
"Jankowski, Travis",608671,"NYM","ST","Sweeper",0,0,"16",8.8,"2","0.5","0.5","0.45",40,0,0,"0.515","0.588","0.483",0
"Bleday, JJ",668709,"ATH","SV","Slurve",1.4,0,"9",0.7,"2","0.5","0.5","0.45",25,0,0,"0.133","0.142","0.126",0
"Avans, Drew",682183,"MIL","FF","4-Seam Fastball",-2.5,-1,"20",25.3,"2","0","0","0",33.3,50,14.3,"0.006","0.006","0.005",0
"Halpin, Petey",690984,"CLE","FF","4-Seam Fastball",-1.1,0,"14",42.4,"2","0","0","0.35",16.7,50,16.7,,,"0.35",
"Turang, Brice",668930,"MIL","SV","Slurve",-9.9,-1,"7",0.3,"2","0","0","0",0,50,33.3,"0.028","0.029","0.029",0
"Avans, Drew",682183,"MIL","ST","Sweeper",-12.3,0,"4",5.1,"2","0","0","0",50,50,50,"0.037","0.038","0.035",0
"Candelario, Jeimer",600869,"CIN","ST","Sweeper",3,1,"21",5.6,"2","0.5","0.5","0.45",28.6,50,25,"0.175","0.263","0.185",0
"Gelof, Zack",680869,"ATH","FS","Split-Finger",-10.2,0,"4",1,"2","0","0","0",100,100,100,,,"0",
"Cole, Zach",805904,"HOU","CU","Curveball",-4.3,-1,"13",5.8,"2","0","0","0",50,50,100,"0.318","0.489","0.344",100
"Haase, Eric",606992,"MIL","FS","Split-Finger",-5.3,0,"7",2.1,"2","0","0","0",33.3,50,33.3,"0.028","0.028","0.025",0
"Avans, Drew",682183,"MIL","FC","Cutter",-2.9,0,"15",19,"2","0","0","0",0,0,0,"0.217","0.229","0.199",50
"Berroa, Steward",672642,"MIL","SI","Sinker",-12.8,-1,"5",15.6,"2","0","0","0",0,0,0,"0.014","0.026","0.018",0
"Cameron, Daz",663662,"MIL","FS","Split-Finger",-8.1,-1,"7",4.4,"2","0","0","0",0,0,0,"0.345","0.631","0.421",50
"Short, Zack",670097,"HOU","FC","Cutter",-0.2,0,"17",6.7,"2","0","0","0.35",40,0,0,"0.231","0.307","0.469",0
"Muncy, Max",691777,"ATH","SV","Slurve",-7.3,-1,"8",1,"2","0","0","0",0,0,0,"0.234","0.273","0.221",0
"Nuñez, Dom",624513,"CLE","ST","Sweeper",-6,-1,"10",35.7,"2","0","0","0",80,50,20,"0.044","0.044","0.041",0
"Acuña, Luisangel",682668,"NYM","FS","Split-Finger",9.1,2,"17",2.5,"2","1","1","0.9",14.3,0,0,"0.484","0.53","0.447",100
"Hummel, Cooper",669450,"HOU","SV","Slurve",-22.8,0,"2",0.4,"2","0","0","0",,100,100,,,"0",
"Contreras, William",661388,"MIL","SV","Slurve",-1.2,0,"12",0.5,"2","0","0","0",50,0,0,"0.355","0.465","0.354",50
"Dunn, Oliver",686554,"MIL","FS","Split-Finger",-4.2,0,"6",3.9,"2","0","0","0",50,50,50,"0.154","0.156","0.139",0
"Ortiz, Joey",687401,"MIL","SV","Slurve",2.3,0,"7",0.4,"2","0","0","0.35",33.3,0,0,"0.472","0.522","0.567",100
"Lile, Daylen",695734,"WSH","SV","Slurve",-10.3,-1,"5",0.4,"2","0","0","0",0,0,0,"0.672","0.747","0.542",100
"Millas, Drew",686452,"WSH","FS","Split-Finger",3.9,0,"6",2.9,"2","0","0","0.35",0,0,0,"0.06","0.061","0.377",0
"Nuñez, Nasim",683083,"WSH","FC","Cutter",-5.4,-1,"12",2.9,"2","0","0","0",40,50,50,"0.244","0.276","0.228",0
"Alfaro, Jorge",595751,"WSH","FC","Cutter",-8.2,0,"5",3.7,"2","0","0","0",50,50,50,"0.006","0.015","0.008",100
"Chaparro, Andrés",665953,"WSH","FC","Cutter",-2.8,-1,"19",6.7,"2","0","0","0",28.6,0,0,"0.06","0.067","0.053",0
"Black, Tyler",672012,"MIL","CU","Curveball",-11.5,0,"4",7.4,"2","0","0","0",0,0,0,"0.074","0.074","0.067",0
"Jansen, Danny",643376,"MIL","SV","Slurve",-3.6,0,"10",0.7,"2","0","0","0",25,50,14.3,"0.118","0.155","0.107",0
"Hinds, Rece",677956,"CIN","FC","Cutter",-1.1,0,"15",8.8,"2","0.5","1","0.625",18.2,0,,"0.441","1.674","0.86",50
"Rocchio, Brayan",677587,"CLE","SV","Slurve",-1.8,0,"12",0.9,"2","0","0","0",33.3,50,16.7,"0","0","0.009",0
"Halpin, Petey",690984,"CLE","CH","Changeup",8.6,0,"4",12.1,"2","0.5","0.5","0.45",0,0,,"0.282","0.316","0.265",0
"Machín, Vimael",605353,"BAL","ST","Sweeper",-12.1,0,"4",10.5,"2","0","0","0",33.3,50,50,"0.127","0.172","0.134",0
"Maton, Nick",665155,"CWS","ST","Sweeper",-2.6,0,"11",4.4,"2","0","0","0",0,100,50,,,"0",
"McCray, Grant",687529,"SF","CU","Curveball",-4.6,0,"10",10.3,"2","0","0","0",50,100,50,,,"0",
"Martínez, Angel",682657,"CLE","SV","Slurve",-6.4,-1,"10",0.6,"2","0","0","0",42.9,50,25,"0.077","0.134","0.086",0
"Vázquez, Luis",676679,"BAL","CH","Changeup",-6,-1,"11",5.8,"2","0","0","0",25,0,0,"0.179","0.19","0.162",0
"Thomas, Colby",687515,"ATH","FS","Split-Finger",2.8,0,"6",1.2,"2","0.5","0.5","0.45",40,50,20,"0.326","0.369","0.304",100
"Adames, Willy",642715,"SF","SV","Slurve",-3,0,"15",0.5,"2","0","0","0",50,0,0,"0.152","0.173","0.137",0
"Johnson, Daniel",669288,"BAL","FC","Cutter",-2.7,0,"8",3.8,"2","0","0","0.35",0,0,0,"0.194","0.279","0.441",0
"Harris, Brett",695391,"ATH","FS","Split-Finger",6.4,0,"5",1.5,"2","0.5","0.5","0.45",33.3,50,33.3,"0.054","0.054","0.052",0
"Villar, David",681584,"SF","ST","Sweeper",0.9,0,"6",6.3,"2","0","0","0.35",0,0,0,"0.493","0.531","0.572",100
"Rogers, Jake",668670,"DET","SV","Slurve",-12.9,-1,"4",0.7,"2","0","0","0",75,50,50,"0.134","0.134","0.12",0
"McNeil, Jeff",643446,"NYM","SV","Slurve",-0.8,0,"10",0.6,"2","0","0","0.35",0,0,0,"0.078","0.113","0.393",0
"McCray, Grant",687529,"SF","CH","Changeup",8.3,1,"9",9.3,"2","0.5","1.5","0.8",33.3,50,25,"0.08","0.117","0.078",0
"Ibáñez, Andy",628451,"DET","SV","Slurve",-5,-1,"11",1.5,"2","0","0","0",20,0,0,"0.064","0.115","0.077",0
"Williamson, Ben",810938,"SEA","SV","Slurve",7.6,0,"5",0.4,"2","0.5","0.5","0.45",0,0,0,"0.424","0.464","0.395",0
"Machín, Vimael",605353,"BAL","SL","Slider",-10.1,0,"4",10.5,"2","0","0","0",66.7,50,50,"0.217","0.233","0.198",0
"Taylor, Samad",669392,"SEA","FF","4-Seam Fastball",-8.2,0,"4",17.4,"2","0.5","0.5","0.45",33.3,0,0,"0.311","0.313","0.283",0
"Hilliard, Sam",656541,"COL","ST","Sweeper",10.3,1,"8",2.9,"2","1","1.5","1.075",0,0,0,"0.35","0.77","0.472",50
"Vierling, Matt",663837,"DET","FS","Split-Finger",5.7,1,"11",2.5,"2","0.5","1","0.625",40,50,33.3,"0.019","0.038","0.024",0
"Brown, Seth",664913,"ATH","ST","Sweeper",-5.6,-1,"9",3,"2","0","0","0",66.7,100,66.7,,,"0",
"Martini, Nick",605361,"COL","ST","Sweeper",1.9,0,"15",3.5,"2","0.5","0.5","0.45",0,0,0,"0.484","0.534","0.447",0
"Knizner, Andrew",668800,"SF","SV","Slurve",29.1,1,"3",0.9,"2","1","1","0.9",0,0,0,"0.558","0.645","0.53",0
"Brennan, Will",686823,"CLE","SL","Slider",-6.8,0,"7",15.2,"2","0","0","0",25,0,0,"0.022","0.022","0.019",0
"Rutschman, Adley",668939,"BAL","SV","Slurve",-0.4,0,"16",1.1,"2","0","0","0",20,50,16.7,"0.045","0.045","0.044",0
"Kieboom, Carter",666198,"LAA","SI","Sinker",3.5,0,"7",21.2,"2","0.5","0.5","0.45",0,0,0,"0.502","0.64","0.504",50
"Kingery, Scott",664068,"LAA","CU","Curveball",-2.5,0,"6",5.8,"2","0.5","0.5","0.45",0,0,0,"0.398","0.434","0.366",50
"Ibáñez, Andy",628451,"DET","FS","Split-Finger",11.1,1,"6",0.8,"2","1","1","0.8",33.3,0,0,"0.918","1.005","0.777",0
"Davis, J.D.",605204,"LAA","ST","Sweeper",2.7,0,"6",19.4,"2","0.5","0.5","0.45",60,0,0,"0.328","0.486","0.338",50
"Rivera, Emmanuel",656896,"BAL","CU","Curveball",-2.5,0,"15",3.2,"2","0","0","0",50,50,25,"0.026","0.036","0.026",0
"Guzman, Denzer",694203,"LAA","CU","Curveball",0.1,0,"14",8,"2","0","0","0",50,50,20,"0.225","0.858","0.444",100
"Baddoo, Akil",668731,"DET","CU","Curveball",-8,-1,"8",14.8,"2","0","0","0",42.9,50,100,"0.098","0.1","0.088",0
"Rivas, Leo",660844,"SEA","CU","Curveball",-2.3,0,"22",4.2,"2","0","0","0",0,0,0,"0.027","0.027","0.025",0
"Allen, Greg",656185,"BAL","FC","Cutter",-9.4,-1,"6",11.5,"2","0","0","0",33.3,0,0,"0.147","0.15","0.133",50
"Robles, Victor",645302,"SEA","FS","Split-Finger",-6.3,0,"6",1.6,"2","0","0","0",0,0,0,"0.282","0.283","0.254",0
"Adams, Jordyn",677941,"BAL","ST","Sweeper",-8,-1,"7",50,"2","0","0","0",60,50,50,"0.241","0.265","0.217",100
"McCoy, Mason",669200,"SD","ST","Sweeper",-8.8,0,"3",3.1,"1","0","0","0",100,100,100,,,"0",
"Rivera, Emmanuel",656896,"BAL","FS","Split-Finger",9,1,"6",1.3,"1","1","1","0.9",0,0,0,"0.522","0.592","0.486",100
"Paredes, Isaac",670623,"HOU","SV","Slurve",59.5,1,"1",0.1,"1","1","2","1.25",0,0,,"0.177","0.364","0.223",0
"Tatis Jr., Fernando",665487,"SD","SV","Slurve",-1.5,0,"5",0.2,"1","0","0","0",0,0,0,"0.148","0.56","0.283",100
"Gurriel, Yuli",493329,"SD","FS","Split-Finger",-1.7,0,"8",5.4,"1","0","0",,33.3,0,0,,,,0
"Brantly, Rob",542963,"MIA","CH","Changeup",10,0,"1",5.3,"1","1","1","0.9",0,0,,"0.197","0.197","0.177",0
"Gurriel, Yuli",493329,"SD","FC","Cutter",-8.6,0,"3",2,"1","0","0","0",0,0,,"0.117","0.117","0.108",0
"Stowers, Kyle",669065,"MIA","KN","Knuckleball",54,1,"1",0.1,"1","1","1","0.9",0,0,,"0.823","0.972","0.775",100
"Wagaman, Eric",676572,"MIA","SV","Slurve",8.1,1,"8",0.4,"1","0","0","0.9",33.3,0,0,"0.575","0.668","0.547",100
"Norby, Connor",681393,"MIA","SV","Slurve",7.5,0,"5",0.4,"1","1","1","0.9",0,0,,"0.845","0.927","0.798",0
"Renfroe, Hunter",592669,"KC","SV","Slurve",36.7,1,"2",0.5,"1","1","2","1.25",0,0,,"0.633","1.061","0.719",100
"Rogers, Trevor",669432,"BAL","SL","Slider",-11.1,0,"2",33.3,"1","0","0","0",,100,100,,,"0",
"Walker, Jordan",691023,"STL","SV","Slurve",-4.7,0,"5",0.3,"1","0","0","0",100,100,50,,,"0",
"Hicks, Liam",689414,"MIA","SV","Slurve",11.1,0,"4",0.3,"1","1","1","0.9",0,0,0,"0.297","0.297","0.267",0
"Stubbs, C.J.",667690,"WSH","FF","4-Seam Fastball",-8.5,0,"3",23.1,"1","0","0","0",0,0,0,"0.033","0.033","0.03",0
"Blanco, Dairon",680118,"KC","FC","Cutter",40.9,1,"2",6.3,"1","1","2","1.25",0,0,0,"0.944","1.058","0.887",0
"Hiura, Keston",669374,"COL","FC","Cutter",35.8,1,"2",2.7,"1","1","2","1.25",0,0,,"0.225","0.433","0.274",100
"Machín, Vimael",605353,"BAL","CU","Curveball",13.7,0,"3",7.9,"1",,,"0.7",,0,0,,,"0.7",
"Acosta, Maximo",691185,"MIA","FS","Split-Finger",18.7,0,"2",0.8,"1","1","1","0.9",0,0,0,"0.627","0.716","0.592",100
