"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Mears, Nick",683232,"R","95.2",,,,,"77.7","19",,
"Johnson, Pierce",572955,"R","95.2",,"56.4",,,"41.5",,,
"Henry, Cole",669371,"R","95.1","93.9","29.8","93.9",,"53.7",,,
"Rock, Joe",697812,"L","95.1","92.6",,,,,"19.4",,
"Guerrero, Luis",692285,"R","95.1",,,"89.3",,,"33.3","47.8",
"Luzardo, Jesús",666200,"L","95.1","94.9",,"99.5",,,"19.5","37.5",
"Altavilla, Dan",656186,"R","95.1","91.3",,"89.2",,,"37.2",,
"Nola, Aaron",605400,"R","95.1","92.9","47.3","99.5",,"82",,,
"McKenzie, Triston",663474,"R","95.1",,,,,"67.6",,,
"Fermin, José",820862,"R","95","92",,,,,"9.6",,
"Leiter, Jack",683004,"R","95","95.1",,"79.6",,"62.5","27.4",,
"Hill, Jaden",677955,"R","95","96.4",,"99.6",,,"28",,
"Povich, Cade",700249,"L","95","93.9","77.2","74.9",,"83",,"43.3",
"Abbott, Andrew",671096,"L","95",,"41","95",,"46.2",,"33.8",
"Rainey, Tanner",663432,"R","95",,,,,,"23.8",,
"Bergert, Ryan",686701,"R","94.9","96.9",,"96.4",,,"28.4","44.6",
"Arrighetti, Spencer",681293,"R","94.9","94.1","44.8","95.5",,"76.9",,"56.5",
"Thompson, Mason",666168,"R","94.9","92.4",,,,"85.7","33.1",,
"Chandler, Bubba",696149,"R","94.9",,,"97.5",,"33.3","20.3",,
"Hernández, Carlos",672578,"R","94.9","95.8",,,"91.8","55.3","25.1",,
"Pivetta, Nick",601713,"R","94.9","96.3","65.5",,,"82.3",,"42.2",
"Brown, Hunter",686613,"R","94.8","88.1","52.2","96.5",,"81.1","41.1",,
"McGough, Scott",543518,"R","94.8","97.4",,,"80.6",,"30.3",,
"Díaz, Edwin",621242,"R","94.8",,,,,,"23.4",,
"Scholtens, Jesse",669947,"R","94.7",,,,,,"36.4","46.5",
"Boyd, Matthew",571510,"L","94.6","95",,"90.4",,"74.7","23.4",,
"Matsui, Yuki",673513,"L","94.5","91.4",,,"74.8",,"36.4","38.6",
"Sale, Chris",519242,"L","94.4","92.9",,"99",,,"55.3",,
"Trivino, Lou",642152,"R","94.4","90","57.6","98.8",,"82.4",,"57.8",
"Civale, Aaron",650644,"R","94.4","91.6","55.9",,"91.6","79.3","45.1",,
"Suarez, Robert",663158,"R","94.4","94.9",,"93.4",,,,,
"Cruz, Steven",674444,"R","94.4",,"63.2",,,,"49.8",,
"Jackson, Luke",592426,"R","94.4",,,,,"68.8","37.6",,
"Evans, Logan",688138,"R","94.4","94.2","16.1","91.6",,"68.8",,"43",
"Baz, Shane",669358,"R","94.4",,"49","95.7",,"71.5","23.5",,
"Fisher, Braydon",680755,"R","94.4",,"66.6",,,"77.2","18.7",,
