"last_name, first_name","player_id","attempts","n_outs_above_average","n_oaa_slice_back_left","n_oaa_slice_back","n_oaa_slice_back_right","n_oaa_slice_back_all","n_oaa_slice_in_left","n_oaa_slice_in","n_oaa_slice_in_right","n_oaa_slice_in_all"
"Biggio, Cavan",624415,"15","1","0","1","0","1","0","0","0","0"
"Siani, Michael",672279,"16","1","1","0","-1","0","0","0","0","0"
"Fletcher, Dominic",666150,"18","1","0","0","0","0","0","0","0","0"
"Jankowski, Travis",608671,"28","1","0","0","0","0","0","0","0","1"
"Gonzalez, Oscar",660757,"29","1","0","0","0","0","0","0","0","0"
"Mesa Jr., Victor",683748,"25","1","0","0","0","0","0","0","1","1"
"Melendez, MJ",669004,"28","1","0","0","0","1","0","0","0","0"
"Cortes, Carlos",666126,"42","1","0","0","0","0","1","0","0","1"
"DeLuca, Jonny",676356,"43","1","0","0","-1","0","1","0","0","1"
"Tawa, Tim",694374,"48","1","0","0","1","0","0","1","0","1"
"Melton, Jacob",689200,"52","1","0","0","1","0","1","0","0","1"
"Hernández, Enrique",571771,"65","1","-1","0","0","0","0","0","1","1"
"Alcántara, Kevin",682634,"7","0","0","0","0","0","0","0","0","0"
"Vierling, Matt",663837,"64","0","0","0","0","0","-1","1","0","0"
"Fraley, Jake",641584,"150","0","-1","2","0","1","0","-2","2","-1"
"Taylor, Samad",669392,"6","0","0","0","0","0","0","0","0","0"
"Fairchild, Stuart",656413,"40","0","0","0","0","-1","0","0","0","0"
"Sosa, Edmundo",624641,"7","0","0","0","0","0","0","0","0","0"
"Reyes, Pablo",622569,"7","0","0","0","0","0","0","0","0","0"
"Ward, Taylor",621493,"345","0","-2","-2","0","-4","3","3","-1","5"
"Osuna, Alejandro",696030,"100","0","0","-1","0","0","0","-1","1","0"
"Benson, Will",666181,"173","0","1","1","-1","1","0","0","-2","-1"
"Marte, Starling",516782,"7","0","0","0","0","0","0","0","0","0"
"Hurtubise, Jacob",674441,"6","0","0","0","0","0","0","0","0","0"
"Blanco, Dairon",680118,"6","0","0","0","0","0","0","0","0","0"
"Adams, Jordyn",677941,"6","0","0","0","0","0","0","0","0","0"
"Yoshida, Masataka",807799,"5","0","0","0","0","0","0","0","0","0"
"Outman, James",681546,"102","0","0","0","0","-1","0","0","0","1"
"Canha, Mark",592192,"40","0","0","-1","0","-1","0","0","0","0"
"Martin, Austin",668885,"92","0","1","1","0","1","0","-1","0","-1"
"Marsh, Brandon",669016,"278","0","0","0","4","3","-2","0","-1","-3"
"Bauers, Jake",641343,"40","0","0","0","-1","-1","0","0","0","0"
"Kelenic, Jarred",672284,"35","0","0","0","0","0","0","-1","0","0"
"Cruz, Oneil",665833,"347","0","2","-1","-2","0","0","-1","1","0"
"Cowser, Colton",681297,"229","0","2","1","-1","2","-1","0","0","-2"
"Raley, Luke",670042,"51","0","0","0","0","0","0","0","0","0"
"Eaton, Nate",681987,"32","0","0","0","0","0","0","0","0","0"
"Mastrobuoni, Miles",670156,"29","0","0","0","0","1","0","0","0","0"
"Happ, Ian",664023,"351","0","-1","0","-2","-3","3","1","-1","3"
"Kepler, Max",596146,"248","0","-1","1","0","0","1","-2","1","0"
"Paris, Kyren",677347,"58","0","0","-1","1","-1","0","0","0","0"
"Massey, Michael",686681,"24","0","0","0","0","0","0","0","0","0"
"Robertson, Will",683770,"49","0","0","0","0","0","0","0","0","0"
"Robles, Victor",645302,"85","0","1","0","0","1","-1","0","0","-1"
"Castro, Willi",650489,"126","0","0","0","0","1","0","0","-1","-1"
"Malloy, Justyn-Henry",669234,"27","0","0","0","0","0","0","0","0","0"
"Clemens, Kody",665019,"26","0","0","0","0","0","0","0","0","0"
"De La Cruz, Bryan",650559,"24","0","0","0","-1","-1","0","0","0","0"
"Dubón, Mauricio",643289,"71","0","0","-1","1","0","0","-1","1","0"
"Pillar, Kevin",607680,"23","0","0","0","0","0","1","-1","0","0"
"Cameron, Daz",663662,"20","0","0","0","0","0","0","0","0","0"
"Schneider, Davis",676914,"101","0","0","0","1","1","0","-1","-1","-2"
"Veen, Zac",691728,"17","0","0","0","0","0","0","0","0","0"
"Duran, Ezequiel",677649,"15","0","0","0","0","0","0","0","0","0"
"Heyward, Jason",518792,"52","0","0","0","0","0","0","1","0","0"
"Beavers, Dylan",687637,"68","0","0","0","0","0","1","-2","0","0"
"Barrero, José",676480,"17","0","0","0","0","0","1","-1","0","0"
"Ruiz, Esteury",665923,"13","0","0","0","0","0","0","0","0","0"
"Allen, Greg",656185,"13","0","0","0","0","0","0","0","0","0"
"McKinney, Billy",641856,"13","0","0","0","0","0","0","0","0","0"
"McCray, Grant",687529,"11","0","0","0","0","0","0","0","0","0"
"Bae, Ji Hwan",678225,"13","0","0","0","0","0","0","0","0","0"
"Margot, Manuel",622534,"11","0","0","0","0","0","0","0","0","0"
"Suzuki, Seiya",673548,"128","0","1","1","0","2","1","0","-2","-2"
"Kreidler, Ryan",668952,"36","0","-1","0","1","0","0","0","0","1"
"Call, Alex",669743,"188","0","0","0","0","0","-1","2","-1","0"
"Tauchman, Mike",643565,"173","0","1","0","0","1","-1","1","-1","-1"
"Loperfido, Joey",694388,"67","0","0","1","0","1","0","0","-1","-1"
"Julks, Corey",667452,"11","0","0","0","0","0","0","0","0","0"
"Caballero, José",676609,"66","0","1","0","-1","0","0","1","0","1"
"Ornelas, Tirso",672359,"9","0","0","0","0","0","0","0","0","0"
"Thomas, Alek",677950,"375","0","-1","-1","0","-2","1","0","2","3"
"Harris, Dustin",687957,"36","0","0","0","0","1","0","0","-1","0"
"Herrera, Iván",671056,"10","0","0","0","0","0","0","0","0","0"
"Tolbert, Tyler",686475,"42","0","0","-1","0","0","0","0","0","0"
"Vilade, Ryan",668723,"10","0","0","0","0","0","0","0","0","0"
"Brennan, Will",686823,"9","0","0","0","0","0","0","0","0","0"
"Garcia, Maikel",672580,"8","0","0","0","0","0","0","0","0","0"
"Hummel, Cooper",669450,"33","-1","0","-1","1","0","0","-1","0","-1"
"Nimmo, Brandon",607043,"294","-1","0","1","-2","-2","1","1","-1","1"
"Nootbaar, Lars",663457,"262","-1","0","0","-2","-2","0","0","2","1"
"O'Hearn, Ryan",656811,"41","-1","-1","0","0","-1","-1","0","0","-1"
"Pereira, Everson",677592,"35","-1","0","0","0","0","0","-1","0","-1"
"Campero, Gustavo",672569,"47","-1","1","-1","0","0","-1","0","-1","-2"
"Refsnyder, Rob",608701,"71","-1","0","0","-1","-1","0","-1","0","-1"
"Renfroe, Hunter",592669,"63","-1","-1","1","0","0","1","-1","-1","-1"
"Sanoja, Javier",691594,"65","-1","1","0","0","1","0","0","-2","-2"
"Sánchez, Jesús",660821,"255","-1","-1","1","0","-1","0","0","0","0"
"Taveras, Leody",665750,"129","-1","1","0","-1","-1","0","-1","1","-1"
"Thomas, Colby",687515,"74","-1","0","0","-1","-1","0","0","-1","0"
"Wade Jr., LaMonte",664774,"39","-1","0","0","0","0","-1","-1","0","-1"
"Wagaman, Eric",676572,"34","-1","0","0","0","0","0","0","-1","-1"
"Waters, Drew",671221,"140","-1","1","-1","-1","-1","-1","1","0","0"
"Solak, Nick",669256,"7","-1","0","0","0","0","-1","-1","0","-2"
"DeLauter, Chase",800050,"6","-1","-1","0","0","-1","0","0","0","0"
"Yorke, Nick",694377,"6","-1","0","-1","0","-1","0","0","0","0"
"Rengifo, Luis",650859,"7","-1","0","-1","0","-1","0","0","0","0"
"Schuemann, Max",680474,"8","-1","-1","0","0","-1","0","0","0","0"
"Fitzgerald, Tyler",666149,"8","-1","-1","0","0","-1","0","0","0","0"
"Valera, George",671655,"10","-1","0","0","0","0","0","0","-1","-1"
"Espinal, Santiago",669289,"10","-1","0","0","0","0","0","-1","0","-1"
"Freeman, Cody",683227,"11","-1","0","0","0","0","0","0","-1","-1"
"Peters, Tristan",671976,"11","-1","0","0","0","0","0","-1","0","-1"
"Azocar, José",640492,"14","-1","0","0","-1","-1","0","-1","0","0"
"McCusker, Carson",676812,"12","-1","-1","0","0","-1","0","0","0","0"
"Avans, Drew",682183,"14","-1","0","-1","0","-1","0","0","0","0"
"Simon, Ronny",682927,"14","-1","0","0","0","0","-1","0","0","-1"
"Campbell, Kristian",692225,"17","-1","0","-1","0","-1","0","0","0","0"
"Kemp, Otto",805249,"16","-1","0","0","0","0","0","0","-1","0"
"Jones, Jahmai",663330,"20","-1","0","0","-1","-1","0","0","-1","-1"
"Siri, Jose",642350,"21","-1","0","-1","0","-1","0","0","0","0"
"Bouchard, Sean",656248,"24","-1","-1","0","0","-1","-1","0","0","-1"
"Hilliard, Sam",656541,"30","-1","0","0","0","0","0","0","-1","-1"
"Alvarez, Yordan",670541,"30","-1","0","0","-1","-1","0","-1","0","0"
"Taylor, Chris",621035,"67","-1","-1","-1","-1","-2","1","0","0","1"
"Mateo, Jorge",622761,"29","-1","1","-1","-1","-1","0","0","0","0"
"Cole, Zach",805904,"31","-1","0","0","0","0","0","0","-1","-1"
"Johnston, Troy",687859,"31","-1","0","0","0","0","0","-1","0","-1"
"Martini, Nick",605361,"32","-1","0","0","0","0","0","-1","0","0"
"Smith, Josh",669701,"36","-1","-1","1","0","0","0","-1","0","-1"
"Loftin, Nick",679845,"43","-1","0","-1","0","-1","0","0","0","0"
"Conine, Griffin",665052,"46","-1","-1","1","0","0","0","0","-1","-1"
"Hassell III, Robert",690987,"141","-1","0","-1","-2","-3","0","1","0","2"
"Jackson, Jeremiah",669236,"73","-2","-2","1","-1","-1","-1","0","1","0"
"Schwarber, Kyle",656941,"20","-2","0","0","0","0","0","-1","-1","-2"
"Carlson, Dylan",666185,"168","-2","-1","1","0","0","0","-1","-1","-2"
"Santander, Anthony",623993,"57","-2","-1","0","0","-1","-1","0","0","-1"
"Grichuk, Randal",545341,"75","-2","-1","0","0","-1","-2","0","0","-2"
"Donovan, Brendan",680977,"40","-2","0","-1","0","-1","0","0","-1","-1"
"Haggerty, Sam",664059,"71","-2","-1","0","-1","-1","0","-1","0","-1"
"Dezenzo, Zach",701305,"51","-2","0","0","-1","-1","-1","-1","0","-2"
"Clase, Jonatan",682729,"69","-2","0","-2","-1","-3","0","0","0","1"
"Reynolds, Bryan",668804,"284","-2","-1","1","-1","-1","-4","2","1","-1"
"Wilson, Weston",642215,"39","-2","0","-1","0","-1","0","-1","0","-1"
"Kim, Hyeseong",808975,"31","-2","0","0","0","-1","0","0","-1","-1"
"Marte, Noelvi",682622,"110","-2","-3","-1","1","-3","0","0","0","1"
"Beck, Jordan",687597,"318","-2","1","2","1","4","-2","-1","-3","-6"
"Stanton, Giancarlo",519317,"35","-2","-1","-1","0","-2","0","0","-1","-1"
"Noel, Jhonkensy",678877,"89","-2","0","0","-2","-2","0","-1","0","-1"
"Grisham, Trent",663757,"317","-2","0","-1","-3","-3","0","1","1","2"
"Joe, Connor",656582,"35","-2","-1","0","0","0","-1","0","0","-2"
"Hinds, Rece",677956,"34","-2","0","0","0","-1","0","0","-1","-1"
"Suwinski, Jack",669261,"122","-2","0","0","0","0","-1","-1","-1","-2"
"Canzone, Dominic",686527,"136","-2","-1","0","0","-1","-1","0","-1","-1"
