"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
666397,"Julien, Edouard","Bat",142,395,395,252,15.949,143,15.949,0.22025316455696203,0.7772151898734178,0.002531645569620253
642136,"Thaiss, Matt","Bat",139,282,282,172,15.951,110,15.951,0.17375886524822695,0.8226950354609929,0.0035460992907801418
665839,"Valdez, Enmanuel","Bat",134,173,173,105,15.951,68,15.951,0.24277456647398843,0.7572254335260116,0
645302,"Robles, Victor","Bat",136,119,119,79,15.955,40,15.955,0.23529411764705882,0.7647058823529411,0
592206,"Castellanos, Nick","Bat",143,702,702,423,15.961,279,15.961,0.22507122507122507,0.7706552706552706,0.004273504273504274
672386,"Kirk, Alejandro","Bat",141,856,856,524,15.962,332,15.962,0.22780373831775702,0.7686915887850467,0.0035046728971962616
670092,"Brooks, Trenton","Bat",135,58,58,36,15.964,22,15.964,0.22413793103448276,0.7758620689655172,0
595751,"Alfaro, Jorge","Bat",120,33,33,21,15.964,12,15.964,0.30303030303030304,0.696969696969697,0
668885,"Martin, Austin","Bat",142,359,359,224,15.966,135,15.966,0.2618384401114206,0.7298050139275766,0.008356545961002786
667690,"Stubbs, C.J.","Bat",120,7,7,7,15.97,,15.97,0.42857142857142855,0.5714285714285714,0
805779,"Wilson, Jacob","Bat",133,771,771,461,15.973,310,15.973,0.22827496757457846,0.7704280155642024,0.0012970168612191958
671286,"Rodríguez, Johnathan","Bat",114,134,134,85,15.973,49,15.973,0.291044776119403,0.6940298507462687,0.014925373134328358
545121,"Vargas, Ildemaro","Bat",109,164,164,98,15.974,66,15.974,0.21341463414634146,0.7865853658536586,0
680777,"Jeffers, Ryan","Bat",142,957,957,596,15.975,361,15.975,0.23824451410658307,0.7575757575757576,0.0041797283176593526
621512,"Nido, Tomás","Bat",116,39,39,27,15.976,12,15.976,0.3076923076923077,0.6666666666666666,0.02564102564102564
575929,"Contreras, Willson","Bat",138,880,880,487,15.976,393,15.976,0.20113636363636364,0.7920454545454545,0.006818181818181818
628451,"Ibáñez, Andy","Bat",116,290,290,156,15.978,134,15.978,0.3103448275862069,0.6793103448275862,0.010344827586206896
641343,"Bauers, Jake","Bat",158,379,379,195,15.979,184,15.979,0.23218997361477572,0.762532981530343,0.005277044854881266
669717,"Wilson, Will","Bat",114,136,136,77,15.983,59,15.983,0.20588235294117646,0.7867647058823529,0.007352941176470588
676914,"Schneider, Davis","Bat",141,453,453,273,15.984,180,15.984,0.23399558498896247,0.7549668874172185,0.011037527593818985
665489,"Guerrero Jr., Vladimir","Bat",141,1192,1192,732,15.984,460,15.984,0.25,0.7399328859060402,0.010067114093959731
624413,"Alonso, Pete","Bat",121,1213,1213,676,15.985,537,15.985,0.2201154163231657,0.7716405605935697,0.008244023083264633
677950,"Thomas, Alek","Bat",109,690,690,431,15.985,259,15.985,0.24057971014492754,0.755072463768116,0.004347826086956522
683748,"Mesa Jr., Victor","Bat",146,44,44,16,15.986,28,15.986,0.13636363636363635,0.8409090909090909,0.022727272727272728
682668,"Acuña, Luisangel","Bat",121,293,293,178,15.989,115,15.989,0.23890784982935154,0.7542662116040956,0.006825938566552901
695506,"Caglianone, Jac","Bat",118,350,350,244,15.99,106,15.99,0.32,0.6771428571428572,0.002857142857142857
802415,"Simpson, Chandler","Bat",139,700,700,510,15.993,190,15.993,0.25,0.7471428571428571,0.002857142857142857
680776,"Duran, Jarren","Bat",111,1160,1160,746,15.997,414,15.997,0.22241379310344828,0.7758620689655172,0.0017241379310344827
669257,"Smith, Will","Bat",119,981,981,596,16,385,16,0.23343527013251783,0.762487257900102,0.004077471967380225
702284,"Young, Cole","Bat",136,491,491,308,16.002,183,16.002,0.22606924643584522,0.769857433808554,0.004073319755600814
682927,"Simon, Ronny","Bat",134,158,158,92,16.005,66,16.005,0.23417721518987342,0.7658227848101266,0
668904,"Lewis, Royce","Bat",142,625,625,364,16.005,261,16.005,0.2192,0.7792,0.0016
623993,"Santander, Anthony","Bat",141,384,384,201,16.007,183,16.007,0.171875,0.8177083333333334,0.010416666666666666
669200,"McCoy, Mason","Bat",135,47,47,31,16.007,16,16.007,0.23404255319148937,0.7659574468085106,0
805300,"Marsee, Jakob","Bat",146,399,399,255,16.009,144,16.009,0.21804511278195488,0.7744360902255639,0.007518796992481203
683011,"Volpe, Anthony","Bat",147,1108,1108,671,16.011,437,16.011,0.23826714801444043,0.7518050541516246,0.009927797833935019
642133,"Tellez, Rowdy","Bat",140,583,583,354,16.011,229,16.011,0.22641509433962265,0.7667238421955404,0.00686106346483705
592518,"Machado, Manny","Bat",135,1115,1115,655,16.014,460,16.014,0.23228699551569507,0.758744394618834,0.008968609865470852
700932,"Manzardo, Kyle","Bat",114,840,840,528,16.017,312,16.017,0.20595238095238094,0.7869047619047619,0.007142857142857143
641680,"Heim, Jonah","Bat",140,717,717,474,16.021,243,16.021,0.22733612273361228,0.7670850767085077,0.005578800557880056
664040,"Lowe, Brandon","Bat",139,773,773,465,16.026,308,16.026,0.2056921086675291,0.7891332470892626,0.00517464424320828
642851,"Wynns, Austin","Bat",133,173,173,97,16.032,76,16.032,0.2543352601156069,0.7341040462427746,0.011560693641618497
663368,"Perkins, Blake","Bat",158,364,364,208,16.037,156,16.037,0.20054945054945056,0.7939560439560439,0.005494505494505495
677594,"Rodríguez, Julio","Bat",136,924,924,583,16.037,341,16.037,0.23917748917748918,0.7554112554112554,0.005411255411255411
670032,"Lopez, Nicky","Bat",112,51,51,29,16.047,22,16.047,0.19607843137254902,0.7450980392156863,0.058823529411764705
680474,"Schuemann, Max","Bat",133,361,361,217,16.05,144,16.05,0.19667590027700832,0.7922437673130194,0.0110803324099723
519317,"Stanton, Giancarlo","Bat",147,624,624,345,16.05,279,16.05,0.23397435897435898,0.7612179487179487,0.004807692307692308
