"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Dean, Justin",681909,0.13990371286248085,0.13990371286248085,0.041543911242062775,0.09835980162041805,,,,,,71,0,0,0,0,0,0,71,0
"Hamilton, David",666152,0.137213895107655,0.137213895107655,0.9657240296752138,0.012315554569013013,-0.8408256891365722,,,,,1416,0,0,1205,4,207,0,0,0
"Adams, Jordyn",677941,0.12842774973364363,0.12842774973364363,0.0479495835456156,0.08047816618802803,,,,,,69,0,0,0,0,0,0,57,12
"Lipscomb, Trey",702358,0.1265441003206395,0.1265441003206395,0.1265441003206395,,,,,,,33,0,3,0,27,3,0,0,0
"Estrada, Thairo",642731,0.12556006125605385,0.12556006125605385,-0.8798095429648229,-0.035985303875427935,1.0413549080963047,,,,,1008,0,0,1008,0,0,0,0,0
"Friedl, TJ",670770,0.12038752541305048,0.12038752541305048,1.1416356147732636,-1.0212480893602154,,,,,,3885,0,0,0,0,0,0,3885,0
"Hurtubise, Jacob",674441,0.11243115974869597,0.11243115974869597,0.1342632071331692,-0.021832047384473217,,,,,,72,0,0,0,0,0,69,0,3
"Happ, Ian",664023,0.10901092448102151,0.10901092448102151,-0.3866256762616233,0.4956366007426422,,,,,,3823,0,0,0,0,0,3823,0,0
"Cook, Billy",695257,0.10881460730286348,0.10881460730286348,0.0065719882409603966,0.10224261906190309,,,,,,33,0,6,0,0,0,0,18,9
"Gurriel, Yuli",493329,0.10331291260200243,0.10331291260200243,0.10331291260200243,,,,,,,105,0,105,0,0,0,0,0,0
"Banfield, Will",677943,0.09663596476777546,,,,,0.09663596476777546,0.6092809893624096,-0.49532356732142246,-0.017321457273211847,78,78,0,0,0,0,0,0,0
"Vierling, Matt",663837,0.0955150865377222,0.0955150865377222,0.020416314646031018,0.07509877189169077,,,,,,618,0,0,0,9,0,135,435,39
"Alcántara, Kevin",682634,0.08762675155903561,0.08762675155903561,0.1011294987848192,-0.013502747225783571,,,,,,111,0,0,0,0,0,21,78,12
"Gonzalez, Oscar",660757,0.08327681925734359,0.08327681925734359,0.5172495046406574,-0.43397268538331407,,,,,,360,0,0,0,0,0,288,0,72
"Trevino, Jose",624431,0.08296081923164322,,,,,0.08296081923164322,1.8826045754124188,-1.021103791853162,-0.7785399643276161,2177,2170,0,0,0,0,0,0,0
"English, Tristin",663536,0.07717824172390833,0.07717824172390833,0.11531975065535477,,-0.038141508931446425,,,,,174,0,174,0,0,0,0,0,0
"Williamson, Ben",810938,0.06842101565521463,0.06842101565521463,0.2323845746847244,-0.0013040555126668258,-0.1626595035168429,,,,,2109,0,0,0,2109,0,0,0,0
