"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
666152,"Hamilton, David","L","70.53192275",29.97620873227282,6.863421621499651,-4.659356732040406,0.45000000000000007,9.606774057464271,31.50088733466111,21.894113277196837,29.87687349972803,280
664728,"Isbel, Kyle","L","70.527229007",24.39857797498367,2.3757957388654884,-4.3052702481295,0.36029411764705876,2.8185377901652426,31.146632201895823,28.328094411730575,26.12940189144597,544
663731,"Kaiser, Connor","R","70.520705",30.407952731168713,8.386038957521446,-5.295994967676066,0.5,4.804046403692003,32.02483611573637,27.22078971204437,29.449546391334533,26
693304,"Gonzales, Nick","R","70.520509943",33.13429873331868,8.879013103746635,-0.019976426219299737,0.5341880341880342,-1.9634262839832706,29.91672446962279,31.880150753606056,26.937622887045382,702
668670,"Rogers, Jake","R","70.518442387",31.154690453424642,16.04926263312251,-2.217474540417745,0.6486486486486486,3.854767131135794,32.457237554735755,28.602470423599964,28.84453308678485,222
545121,"Vargas, Ildemaro","R","70.512082011",23.618988057269377,5.743175650358654,-6.56475560342393,0.46560846560846564,10.354721732756845,28.07663160962706,17.721909876870214,24.594599681300508,189
673490,"Kim, Ha-Seong","R","70.5071848",23.444239178319176,5.575788498175957,-1.89095977683717,0.5127272727272727,0.09067779909951432,33.403050480780244,33.31237268168073,26.278171563708668,275
805300,"Marsee, Jakob","L","70.488703403",33.29576878943841,5.331079942913595,-2.1514172713123796,0.4328358208955224,-0.3475450232263788,30.031829466615857,30.379374489842235,29.79308268642394,335
669234,"Malloy, Justyn-Henry","R","70.48173301",40.67196552328678,16.002329534243128,-0.7672156448903464,0.5357142857142857,1.1034801671162737,32.06691013102621,30.96342996390994,28.659626783792532,196
666018,"Aranda, Jonathan","L","70.474476274",35.56934963328386,10.210204195835438,3.641418749857281,0.5616438356164383,0.09035448489249209,27.322467167381834,27.232112682489337,29.27360668622968,730
656185,"Allen, Greg","L","70.46197375",30.7377679166678,8.5428799314922,-5.626522763075378,0.7083333333333334,-3.5828268704320108,28.299283215284234,31.88211008571625,26.778725532751082,24
608348,"Kelly, Carson","R","70.432022402",33.1103867598069,11.657234299595608,-3.9707656692662603,0.5285285285285285,1.0182266938551097,30.941426300620744,29.92319960676564,29.576360668080945,666
665923,"Ruiz, Esteury","R","70.43101",36.75184353404477,13.43979542512577,-2.981523146684263,0.35000000000000003,-1.824835431301021,28.317191099436734,30.14202653073776,30.123841322066305,40
665839,"Valdez, Enmanuel","L","70.403599301",27.399908322078275,8.527226017530344,-4.939919829408314,0.5874125874125874,-2.072457969354147,27.788797445326622,29.861255414680766,23.552767717597668,143
681807,"Fry, David","R","70.401437595",31.08766791684312,15.319086851470255,-5.463377611266118,0.649484536082474,-0.05009254487698234,28.603514255487458,28.65360680036444,33.429902957265796,291
678391,"Vivas, Jorbit","L","70.330953545",29.36205593026534,5.15257276203151,-1.8079184886450608,0.49090909090909085,-6.785551107278828,27.06785045210326,33.85340155938209,25.83327058980569,110
621438,"Taylor, Tyrone","R","70.298012378",32.341056194343665,8.070717955955853,-8.413885526607665,0.5299625468164794,4.108216147995982,30.80407257055662,26.69585642256064,25.531257238623155,534
679032,"Rojas, Johan","R","70.290026346",24.327557695737497,6.295828479693368,2.7355664766084713,0.5538461538461538,-0.33997932444950246,28.317562139477225,28.65754146392673,26.363609720048718,260
666198,"Kieboom, Carter","R","70.284234444",28.629191397524565,5.969431781914535,-3.9907933491142913,0.5,4.82687776494199,30.951382649870457,26.124504884928466,26.223938596536318,18
673962,"Jung, Josh","R","70.283741103",37.6547496092993,11.4559007507492,2.594268488468794,0.5275862068965516,9.578495505073215,32.14941756286783,22.570922057794608,25.012839175651415,870
641856,"McKinney, Billy","L","70.252428378",35.952709186555296,11.369377392438125,2.6532046475771733,0.5135135135135135,6.7089304785125075,28.926892347688973,22.217961869176463,29.201279084908514,37
682657,"Martínez, Angel","R","70.190628509",33.78166694479807,12.405421399054719,-6.972953797706502,0.5599022004889976,6.796663426085671,37.44355005089915,30.646886624813472,24.44584217971166,818
650402,"Torres, Gleyber","R","70.189734515",34.10090854736428,9.28286545009546,4.2079735984967614,0.5643459915611814,-2.19449075873294,30.34036559024448,32.53485634897742,26.395178918891865,948
687478,"Devanney, Cam","R","70.189654507",33.00143418180488,12.695849126910291,2.3194539705305557,0.5352112676056338,-4.917509972908177,26.816528749432173,31.734038722340355,29.100778959775305,71
640492,"Azocar, José","R","70.187141379",39.32942326135713,2.2521615170756633,4.231115105556342,0.3448275862068966,-1.3798150069064858,28.442902896362757,29.822717903269243,26.69357868468449,29
669242,"Edman, Tommy","R","70.183830106",26.591355936960362,9.88129422055077,-1.4176183997611762,0.597173144876325,1.2158403558319673,29.66739862447428,28.451558268642312,27.30067219304965,566
666397,"Julien, Edouard","L","70.167664984",41.597356812834526,13.843274305110516,5.647724645462298,0.4536741214057507,0.384491686613219,29.362118425124653,28.977626738511436,27.756591492614866,313
669208,"Bliss, Ryan","R","70.144061897",31.452393143859126,12.556228575207706,2.114989421681244,0.6551724137931034,3.809516662713911,29.015542187912985,25.20602552519907,28.09755642706345,58
663886,"Stephenson, Tyler","R","70.140759643",37.500790300544026,13.302747273461463,0.6889303462889167,0.5131578947368421,2.1592357494660632,29.209714655741745,27.05047890627568,29.320101717535643,532
518595,"d'Arnaud, Travis","R","70.134599927",32.76004553504196,14.87771036208264,-3.9481094452432037,0.5641646489104115,2.963414175670324,31.587053571285054,28.62363939561473,29.283993425492127,413
680737,"Helman, Michael","R","70.122550105",27.961156947335542,12.035220552304017,-9.22365030339174,0.7473684210526316,1.6415649677841775,34.08433496863887,32.44277000085469,24.968542071270992,190
665861,"Rivero, Sebastián","R","70.122365493",34.20520778538899,11.331028475606443,-2.490191331221394,0.619718309859155,1.7056992824898605,30.714181991636075,29.008482709146218,27.86660172145172,71
686681,"Massey, Michael","L","70.115340811",31.42449917328617,13.371007934230123,-6.475484594447484,0.5966735966735967,5.248920501672092,32.31252472244154,27.063604220769435,27.061773624362285,481
641355,"Bellinger, Cody","L","70.110897618",32.36055080692066,12.862294958209686,-3.1345472608711153,0.5932203389830509,-2.6342303190454377,30.08291898461286,32.71714930365829,21.032123046000084,1121
702176,"Roden, Alan","L","70.100367009",27.039087902613836,9.792491508955095,-5.478112553803674,0.45089285714285715,8.456000635087578,34.950704626243265,26.49470399115569,28.222895595789254,224
668939,"Rutschman, Adley","R","70.069662638",34.5585005383,9.382165057764887,-1.327955824543163,0.48197343453510433,-1.0211633815384014,26.008538658743635,27.02970204028204,26.384897196315695,527
694362,"Dunn, Blake","R","70.048456909",38.16159222872213,4.576742057764495,6.162802861999784,0.38181818181818183,0.9855843988112494,29.45133246175271,28.465748062941465,29.177653736894346,110
664954,"Sullivan, Brett","L","70.0212175",32.07192051212495,5.42986260259264,-6.7373967253916485,0.5625,-0.6462393441249743,30.583901603442254,31.230140947567225,27.601230644088982,16
664774,"Wade Jr., LaMonte","L","70.016405849",31.825319916793042,9.063002642857358,0.2986517644354766,0.5336927223719675,0.8069245553926772,32.32796052041399,31.521035965021316,23.255114009619454,371
695257,"Cook, Billy","R","70.008233636",30.97290611890823,12.933050687330585,-8.060459852453596,0.6363636363636364,8.360320511973555,31.92932728979068,23.56900677781712,26.544308819918196,11
677587,"Rocchio, Brayan","R","69.997537065",28.958622778143308,10.954949234812153,-5.8751168692811415,0.5080645161290323,8.39041759747891,34.2570514948828,25.8666338974039,23.864963582121135,620
663368,"Perkins, Blake","R","69.982733222",30.294525706702128,8.758144148796713,3.337091174671788,0.5648535564853556,1.386312121497605,27.033848902408334,25.647536780910727,30.52520297418419,239
694497,"Carter, Evan","L","69.959813822",32.73722950896853,8.755703975590277,-8.338434465524248,0.46496815286624205,5.964193138767401,34.89330298251885,28.92910984375145,23.77554238292455,314
702358,"Lipscomb, Trey","R","69.9577625",33.406203890919016,-5.061588050908296,15.93742077411406,0.25,-9.220301764829202,18.016266989029006,27.236568753858208,32.29194063337803,4
645305,"Sánchez, Ali","R","69.955427561",32.2783750320399,11.177055034663994,2.0013872476901384,0.6585365853658536,2.761480945185356,31.033022320786472,28.271541375601117,31.002862543179347,41
